股票代號,股票名稱,收盤價,月平均價
"03349P","微星中信24售02","0.97","0.98"
"03350P","景碩中信24售01","0.93","0.92"
"03351P","臺股指中信25售05","1.10","1.11"
"03354P","長榮元富29售01","1.35","1.38"
"03355P","晶心科元富23售01","1.74","1.94"
"03356P","華通麥證23售02","1.29","1.42"
"03357P","長榮航麥證26售01","","3.02"
"03358P","中鴻元大23售05","2.14","2.10"
"03359P","鴻海元大23售19","","1.31"
"03360P","長榮元大23售36","7.45","7.80"
"03362P","陽明元大23售19","0.77","0.84"
"03363P","陽明元大23售20","2.51","2.51"
"03364P","華航元大26售04","","1.26"
"03365P","萬海元大23售34","","2.19"
"03366P","富邦金元大23售07","1.88","1.86"
"03368P","華擎元大23售04","0.78","0.79"
"03370P","亞德客凱基24售02","","1.17"
"03371P","華新凱基24售03","1.82","1.85"
"03372P","大成鋼凱基23售04","1.40","1.38"
"03373P","南亞科凱基24售02","0.59","0.61"
"03374P","聯發科凱基25售06","1.29","1.26"
"03376P","萬海凱基27售03","2.17","2.17"
"03377P","啟碁凱基25售01","1.07","1.07"
"03378P","台灣50富邦26售02","","2.09"
"03379P","長榮第一27售01","0.98","1.00"
"03380P","台積電國票24售06","3.65","3.48"
"03382P","富邦金國票23售04","0.80","0.80"
"03383P","富邦金國票24售02","","1.09"
"03385P","揚明光國票23售08","","1.75"
"03386P","晶心科國票23售05","0.95","1.12"
"03387P","晶心科國票25售01","0.69","0.73"
"03388P","台灣50永豐23售03","1.06","1.03"
"03389P","臺股指永豐23售09","0.76","0.77"
"03390P","臺股指永豐23售10","0.94","0.95"
"03391P","台灣50群益23售11","5.50","5.19"
"03392P","台灣50群益23售12","3.72","3.46"
"03393P","長榮群益25售01","3.17","3.42"
"03394P","台積電凱基24售19","2.89","2.77"
"03395P","聯電凱基1C售02","1.40","1.40"
"03396P","立積群益23售02","1.57","1.65"
"03397P","台積電凱基24售20","2.77","2.65"
"03398P","聯發科凱基1C售02","1.68","1.68"
"03399P","彩晶群益25售01","0.72","0.70"
"03400P","宏達電統一25售03","0.65","0.68"
"03401P","鴻海中信27售02","1.27","1.23"
"03402P","鴻海中信27售03","1.25","1.21"
"03403P","台積電中信27售02","1.75","1.69"
"03404P","台積電中信27售03","1.54","1.48"
"03405P","技嘉凱基25售02","0.78","0.78"
"03407P","鴻海台新23售01","1.50","1.42"
"03408P","滬深2X元富23售03","","2.92"
"03409P","聯發科元富23售07","","1.30"
"03411P","微星凱基25售02","1.28","1.28"
"03412P","南亞科凱基25售02","1.62","1.62"
"03413P","長榮元富25售06","","1.50"
"03415P","長榮航元富23售03","","3.25"
